# This is the list of all model files in descending order of f1-score
# Duplicate models are removed based on their performance
# Date: 09/13/2018

model_name,f1_score,roc_auc_score,total_actives,predicted_actives,version
classifier_peroxisome_proliferator_activated_receptor_alpha,0.949640287769784,0.952054794520548,73,66,py35
classifier_somatostatin_receptor_type_2,0.9494949494949495,0.978115458781938,49,50,py35
classifier_caspase_7,0.9489051094890512,0.970372369465952,69,68,py27
classifier_thyroid_hormone_receptor_beta,0.9487179487179488,0.9512195121951219,41,37,py35
classifier_cytochrome_p450_11b2_mitochondrial,0.9487179487179486,0.9593315295475061,161,151,py27
classifier_sterol_o_acyltransferase_2,0.9473684210526316,0.95,20,18,py27
classifier_plasminogen_activator_inhibitor_1,0.9473684210526316,0.95,10,9,py27
classifier_s_methyl_5_thioadenosine_phosphorylase,0.9473684210526316,0.95,10,9,py35
classifier_monocarboxylate_transporter_1,0.9473684210526316,0.9989406779661018,9,10,py27
classifier_cathepsin_l2,0.9473684210526316,0.95,10,9,py27
classifier_calpain_2_catalytic_subunit,0.9473684210526316,0.9649683939588932,29,28,py27
classifier_secreted_frizzled_related_protein_1,0.9473684210526316,0.95,10,9,py27
